data_id,pred_len,auxi_mode,mse,mae,exp_dir
ETTh1,192,DTW,0.43764105439186096,0.4333084225654602,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/diff_loss/Fredformer_ETTh1_192_0.9995_0.0005_0.001_type3_100_10_128_None_dtw
ETTh1,336,DTW,0.4860396087169647,0.45465537905693054,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/diff_loss/Fredformer_ETTh1_336_0.9995_0.0005_0.001_type3_100_10_128_None_dtw
ETTh1,720,DTW,0.5380672216415405,0.5099091529846191,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/diff_loss/Fredformer_ETTh1_720_0.9995_0.0005_0.001_type3_100_10_128_None_dtw
ETTh1,Avg,DTW,0.4598596543073654,0.4490961730480194,
ECL,96,DF,0.1610181480646133,0.2575914561748504,/data/home/Licheng/workspace/TSF-PCA/results_PCA/baselines/Fredformer_ECL_96_1.0_0.0_0.01_TST_100_5_32_640_3_8_640_32
ECL,192,DF,0.1735854893922805,0.2694698274135589,/data/home/Licheng/workspace/TSF-PCA/results_PCA/baselines/Fredformer_ECL_192_1.0_0.0_0.01_TST_100_5_32_640_3_8_640_32
ECL,336,DF,0.1941081583499908,0.2903970777988434,/data/home/Licheng/workspace/TSF-PCA/results_PCA/baselines/Fredformer_ECL_336_1.0_0.0_0.01_TST_100_5_32_640_3_8_640_32
ECL,720,DF,0.2346724569797516,0.3193843066692352,/data/home/Licheng/workspace/TSF-PCA/results_PCA/baselines/Fredformer_ECL_720_1.0_0.0_0.01_TST_100_5_32_640_3_8_640_32
ECL,Avg,DF,0.19084606319665903,0.28421066701412195,
ECL,96,Time-o1,0.1511508077383041,0.2447965443134308,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/diff_loss/Fredformer_ECL_PCA_96_0.2_0.8_0.005_TST_100_5_32_640_3_8_640_32_MAE_0_1_T_0.8
ECL,192,Time-o1,0.165649265050888,0.2563000917434692,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/diff_loss/Fredformer_ECL_PCA_192_0.0_1.0_0.005_TST_100_5_32_640_3_8_640_32_MAE_0_1_T_1.0
ECL,336,Time-o1,0.1810963749885559,0.2742898166179657,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/diff_loss/Fredformer_ECL_PCA_336_0.2_0.8_0.005_TST_100_5_32_640_3_8_640_32_MAE_0_1_T_0.6
ECL,720,Time-o1,0.2131546735763549,0.3040794432163238,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/diff_loss/Fredformer_ECL_PCA_720_0.0_1.0_0.005_TST_100_5_32_640_3_8_640_32_MAE_0_1_T_0.6
ECL,Avg,Time-o1,0.17776278033852572,0.2698664739727974,
ECL,96,FreDF,0.152476504445076,0.24714890122413635,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/diff_loss/Fredformer_ECL_96_0.2_0.8_0.005_TST_100_5_32_MAE_rfft
ECL,192,FreDF,0.1662038117647171,0.25718382000923157,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/diff_loss/Fredformer_ECL_192_0.2_0.8_0.005_TST_100_5_32_MAE_rfft
ECL,336,FreDF,0.18287095427513123,0.277835488319397,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/diff_loss/Fredformer_ECL_336_0.2_0.8_0.005_TST_100_5_32_MAE_rfft
ECL,720,FreDF,0.21638022363185883,0.30436116456985474,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/diff_loss/Fredformer_ECL_720_0.2_0.8_0.005_TST_100_5_32_MAE_rfft
ECL,Avg,FreDF,0.17948287352919579,0.2716323435306549,
ECL,96,Fourier Koopman,0.1655011922121048,0.26315730810165405,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/diff_loss/Fredformer_ECL_96_0.2_0.8_0.005_TST_100_5_32_None_fourier_koopman
ECL,192,Fourier Koopman,0.17370064556598663,0.26687905192375183,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/diff_loss/Fredformer_ECL_192_0.2_0.8_0.005_TST_100_5_32_None_fourier_koopman
ECL,336,Fourier Koopman,0.18750976026058197,0.28045448660850525,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/diff_loss/Fredformer_ECL_336_0.2_0.8_0.005_TST_100_5_32_None_fourier_koopman
ECL,720,Fourier Koopman,0.23175939917564392,0.3178021311759949,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/diff_loss/Fredformer_ECL_720_0.2_0.8_0.005_TST_100_5_32_None_fourier_koopman
ECL,Avg,Fourier Koopman,0.18961774930357933,0.2820732444524765,
ECL,96,Dilate,0.15822133421897888,0.2534371614456177,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/diff_loss/Fredformer_ECL_96_0.9995_0.0005_0.005_TST_100_5_32_None_dilate_cuda
ECL,192,Dilate,0.17028088867664337,0.2633451223373413,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/diff_loss/Fredformer_ECL_192_0.9995_0.0005_0.005_TST_100_5_32_None_dilate_cuda
ECL,336,Dilate,0.19035138189792633,0.28552091121673584,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/diff_loss/Fredformer_ECL_336_0.9995_0.0005_0.005_TST_100_5_32_None_dilate_cuda
ECL,720,Dilate,0.22918565571308136,0.316375732421875,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/diff_loss/Fredformer_ECL_720_0.9995_0.0005_0.005_TST_100_5_32_None_dilate_cuda
ECL,Avg,Dilate,0.18700981512665749,0.27966973185539246,
ECL,96,Soft-DTW,0.1679222285747528,0.2658578157424927,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/diff_loss/Fredformer_ECL_96_0.9995_0.0005_0.005_TST_100_5_32_None_soft_dtw
ECL,192,Soft-DTW,0.21824198961257935,0.31265369057655334,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/diff_loss/Fredformer_ECL_192_0.9995_0.0005_0.005_TST_100_5_32_None_soft_dtw
ECL,336,Soft-DTW,0.1972021907567978,0.2909102737903595,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/diff_loss/Fredformer_ECL_336_0.9995_0.0005_0.005_TST_100_5_32_None_soft_dtw
