model,pred_len,data_id,learning_rate,batch_size,patience,individual,train_epochs,lradj,mse,mae,mape,mspe,exp_dir
DLinear,720,ETTm2,0.0005,32,3,0,10,type1,0.525771975517273,0.5081155300140381,1.3036130666732788,220.34507751464844,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/DLinear_ETTm2_720_1.0_0.0_0.0005_type1_10_3_32
DLinear,12,PEMS03,0.0005,32,3,0,10,type1,0.10502497851848602,0.22041785717010498,1.6362718343734741,10454.982421875,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/DLinear_PEMS03_12_1.0_0.0_0.0005_type1_10_3_32
DLinear,24,PEMS03,0.0005,32,3,0,10,type1,0.1828930675983429,0.29687005281448364,2.0474607944488525,14811.8486328125,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/DLinear_PEMS03_24_1.0_0.0_0.0005_type1_10_3_32
DLinear,36,PEMS03,0.0005,32,3,0,10,type1,0.2576790452003479,0.3613201081752777,2.254117965698242,16119.3623046875,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/DLinear_PEMS03_36_1.0_0.0_0.0005_type1_10_3_32
DLinear,48,PEMS03,0.0005,32,3,0,10,type1,0.31870585680007935,0.410236656665802,2.4446847438812256,16632.189453125,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/DLinear_PEMS03_48_1.0_0.0_0.0005_type1_10_3_32
DLinear,12,PEMS08,0.0005,32,3,0,10,type1,0.11296194046735764,0.22522109746932983,1.6881721019744873,4598.96142578125,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/DLinear_PEMS08_12_1.0_0.0_0.0005_type1_10_3_32
DLinear,24,PEMS08,0.0005,32,3,0,10,type1,0.1986701488494873,0.30211690068244934,2.1575045585632324,8764.373046875,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/DLinear_PEMS08_24_1.0_0.0_0.0005_type1_10_3_32
DLinear,36,PEMS08,0.0005,32,3,0,10,type1,0.2945089340209961,0.3706391751766205,2.491791009902954,11810.201171875,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/DLinear_PEMS08_36_1.0_0.0_0.0005_type1_10_3_32
DLinear,48,PEMS08,0.0005,32,3,0,10,type1,0.3889409303665161,0.428529292345047,2.719299077987671,13090.8916015625,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/DLinear_PEMS08_48_1.0_0.0_0.0005_type1_10_3_32
DLinear,96,Traffic,0.0005,4,3,0,10,type1,0.6488514542579651,0.3965752422809601,5.040677547454834,2138061.25,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/DLinear_Traffic_96_1.0_0.0_0.0005_type1_10_3_4
DLinear,192,Traffic,0.0005,4,3,0,10,type1,0.5984793305397034,0.370913565158844,4.48470401763916,1305271.125,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/DLinear_Traffic_192_1.0_0.0_0.0005_type1_10_3_4
DLinear,336,Traffic,0.0005,4,3,0,10,type1,0.6052410006523132,0.3733278810977936,4.284814834594727,1068125.75,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/DLinear_Traffic_336_1.0_0.0_0.0005_type1_10_3_4
DLinear,720,Traffic,0.0005,4,3,0,10,type1,0.6457996964454651,0.3953804075717926,4.207886695861816,777247.5,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/DLinear_Traffic_720_1.0_0.0_0.0005_type1_10_3_4
DLinear,96,Weather,0.0005,32,3,0,10,type1,0.19397175312042236,0.2532319128513336,2.513913154602051,55619.62109375,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/DLinear_Weather_96_1.0_0.0_0.0005_type1_10_3_32
DLinear,192,Weather,0.0005,32,3,0,10,type1,0.23785743117332458,0.29627272486686707,2.6075730323791504,51480.1640625,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/DLinear_Weather_192_1.0_0.0_0.0005_type1_10_3_32
