model,pred_len,data_id,learning_rate,batch_size,patience,individual,train_epochs,lradj,mse,mae,exp_dir
CycleNet,36,PEMS08,0.0005,32,5,0,30,type1,0.16862298548221588,0.2765849828720093,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/CycleNet_PEMS08_36_1.0_0.0_0.0005_type1_30_5_32
CycleNet,48,PEMS08,0.0005,32,5,0,30,type1,0.20624791085720062,0.30855706334114075,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/CycleNet_PEMS08_48_1.0_0.0_0.0005_type1_30_5_32
CycleNet,96,Traffic,0.0005,8,5,0,30,type1,0.4928542971611023,0.32544252276420593,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/CycleNet_Traffic_96_1.0_0.0_0.0005_type1_30_5_8
CycleNet,192,Traffic,0.0005,8,5,0,30,type1,0.4924945831298828,0.31956711411476135,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/CycleNet_Traffic_192_1.0_0.0_0.0005_type1_30_5_8
CycleNet,336,Traffic,0.0005,8,5,0,30,type1,0.4952191710472107,0.314523309469223,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/CycleNet_Traffic_336_1.0_0.0_0.0005_type1_30_5_8
CycleNet,720,Traffic,0.0005,8,5,0,30,type1,0.522695779800415,0.33009618520736694,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/CycleNet_Traffic_720_1.0_0.0_0.0005_type1_30_5_8
CycleNet,96,Weather,0.0005,32,5,0,30,type1,0.17988520860671997,0.2225448042154312,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/CycleNet_Weather_96_1.0_0.0_0.0005_type1_30_5_32
CycleNet,192,Weather,0.0005,32,5,0,30,type1,0.23076583445072174,0.26351198554039,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/CycleNet_Weather_192_1.0_0.0_0.0005_type1_30_5_32
CycleNet,336,Weather,0.0005,32,5,0,30,type1,0.28167903423309326,0.29953131079673767,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/CycleNet_Weather_336_1.0_0.0_0.0005_type1_30_5_32
CycleNet,720,Weather,0.0005,32,5,0,30,type1,0.35360288619995117,0.34626418352127075,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/CycleNet_Weather_720_1.0_0.0_0.0005_type1_30_5_32
DLinear,96,ECL,0.0005,32,3,0,10,type1,0.19702474772930145,0.2823767364025116,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/DLinear_ECL_96_1.0_0.0_0.0005_type1_10_3_32
DLinear,192,ECL,0.0005,32,3,0,10,type1,0.1965537816286087,0.2855641543865204,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/DLinear_ECL_192_1.0_0.0_0.0005_type1_10_3_32
